Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,Tract,Description,Point,XCoordinate,Ycoordinate,WaterSample,Notes
6,30,21,9:15:00,-0.65,23.3,410.31,151.236,446.98,57.515,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,9:20:00,-0.78,23.9,86.23,5.616,130.28,22.531,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,9:25:00,-3.35,24.2,320.27,95.09,509.7,248.393,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,9:30:00,-2.36,24.4,72.14,8.785,205.5,31.483,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,9:35:00,-0.19,23.9,53.12,2.671,63.85,2.729,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,9:40:00,0.01,23.2,51.89,3.208,51.2,3.803,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,9:45:00,0.05,22.7,49.22,10.6,46.67,5.518,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,9:50:00,0.09,22.1,51.62,2.287,46.67,3.253,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,9:55:00,0.23,21.4,57.58,3.057,44.82,2.564,0,1,Parallel to point 2 at 1340 on 2021-06-29,1,-0.3271833,-78.20093,NA,NA
6,30,21,10:00:00,0.28,20.7,62.08,1.925,46.29,1.777,0,1,Parallel to point 2 at 1340 on 2021-06-30,1,-0.3271833,-78.20093,NA,NA
6,30,21,10:05:00,-0.03,20.3,49.21,3.872,51.08,2.001,0,1,Parallel to point 2 at 1340 on 2021-06-31,1,NA,NA,NA,NA
6,30,21,10:10:00,-0.12,19.4,42.7,5.012,49.5,4.787,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,10:15:00,0.38,18.7,73.46,4.182,51.77,6.806,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,10:20:00,0.51,18.7,88.32,1.332,59.72,2.206,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,10:25:00,0.49,18.7,89.97,2.901,62.13,3.74,0,2,Starts about 20-30 meters to the right of point 1 at 1320 on 2021-06-29,1,-0.3270833,-78.20068,NA,NA
6,30,21,10:30:00,0.44,18.7,85.67,3.566,60.51,1.801,0,2,Starts about 20-30 meters to the right of point 1 at 1320 on 2021-06-30,1,-0.3270833,-78.20068,NA,NA
6,30,21,10:35:00,0.12,18.6,68.96,13.401,62.44,2.651,0,2,Starts about 20-30 meters to the right of point 1 at 1320 on 2021-06-31,1,NA,NA,NA,NA
6,30,21,10:40:00,0.18,18.5,78.11,0.941,68.04,2.115,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,10:45:00,0.15,18.6,69.67,1.208,61.25,1.581,0,2,Starts about 20-30 meters to the right of point 1 at 1320 on 2021-06-33,2,-0.3269833,-78.20078,NA,NA
6,30,21,10:50:00,0.06,18.6,65.4,1.535,62.05,2.96,0,2,Starts about 20-30 meters to the right of point 1 at 1320 on 2021-06-34,2,-0.3269833,-78.20078,NA,NA
6,30,21,10:55:00,0.08,18.6,67.19,4.331,62.49,1.89,0,2,Starts about 20-30 meters to the right of point 1 at 1320 on 2021-06-35,2,NA,NA,NA,NA
6,30,21,11:00:00,0.06,18.3,67.27,1.926,64.07,6.743,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,11:05:00,0.15,18.3,66.08,1.683,57.38,0.666,0,2,Starts about 20-30 meters to the right of point 1 at 1320 on 2021-06-37,3,-0.3268667,-78.20095,NA,NA
6,30,21,11:10:00,0.16,18.2,65.05,1.537,55.96,1.561,0,2,Starts about 20-30 meters to the right of point 1 at 1320 on 2021-06-38,3,-0.3268667,-78.20095,NA,NA
