"","Lat","Lon","Date","EOS_no","Flux_ave","Tract","Point","VaisalaType","CO2_ppm_ave","GAVI_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm"
"1",-78.2038,-0.3317,2021-06-22,"EOS_1",-0.035,1,2,"new",200.1005,8.61025,62.4772,6.761,627.2604,223.205190014394
"2",-78.20378,-0.3315833,2021-06-22,"EOS_1",0.025,1,1,"new",214.298461538462,8.48775,62.4812,6.762,627.3004,238.942250839609
"3",-78.2036,-0.3314834,2021-06-22,"EOS_1",0.75,1,3,"new",210.384615384615,8.645,62.4641,6.759,627.1294,234.742672638383
"4",-78.20327,-0.3313166,2021-06-22,"EOS_1",0.17,1,4,"new",255.880833333333,8.755,62.4576,6.759,627.0644,285.625156279774
"5",-78.20317,-0.3312167,2021-06-23,"EOS_1",2.28,1,1,"old",927.384615384615,11.2285,62.4831,6.786,627.3194,1403.41586652515
"6",-78.20315,-0.3314833,2021-06-22,"EOS_1",0.43,1,5,"new",242.3364,8.733,62.4531,6.758,627.0194,270.504992566822
"7",-78.20314,-0.32817,2021-06-29,"EOS_2",3.7,6,4,"old",4027.23076923077,8.90025,62.4649,7.251,627.1374,6051.07265689468
"8",-78.203133,-0.3307,2021-06-23,"EOS_1",0.5,1,3,"old",1335.5,11.552,62.4495,6.778,626.9834,2023.71082080464
"9",-78.20313,-0.3309667,2021-06-23,"EOS_1",2.59,1,2,"old",964.692307692308,11.4305,62.4699,6.783,627.1874,1460.97982978692
"10",-78.20312,-0.3313,2021-06-22,"EOS_1",0.28,2,1,"new",664.426153846154,7.90075,62.4772,6.739,627.2604,739.575867563736
"11",-78.20308,-0.3305667,2021-06-23,"EOS_1",0.655,1,4,"old",2365.38461538462,11.45275,62.4457,6.775,626.9454,3583.33356783563
"12",-78.20303,-0.3311667,2021-06-22,"EOS_2",1.88,1,1,"old",916.615384615385,8.4675,62.4612,6.751,627.1004,1375.42026458337
