Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,EOS Num,Site,Trans Num
6,21,21,10:15:00,-0.17,24.8,51.35,2.369,61.17,1.905,0,1,NA,NA
6,21,21,10:20:00,0.02,24.9,50.19,8.574,48.97,1.833,0,1,NA,NA
6,21,21,10:25:00,0.56,24.4,93.27,9.635,61.78,6.45,0,1,NA,NA
6,21,21,10:30:00,-0.05,23.9,67.37,3.321,70.33,3.07,0,1,NA,NA
6,21,21,10:35:00,0.2,24,78.67,3.358,67.16,7.086,0,1,NA,NA
6,21,21,10:40:00,0.35,24.3,70.47,0.909,50.6,1.436,0,1,Gavi,5
6,21,21,10:45:00,0.38,24.3,64.84,3.11,43.18,3.807,0,1,Gavi,5
6,21,21,10:50:00,0.4,24,63.12,3.029,40.33,1.556,0,1,Gavi,5
6,21,21,10:55:00,0.33,23.6,59.61,3.173,40.89,2.491,0,1,Gavi,5
6,21,21,11:00:00,-0.28,22.9,34.56,2.994,50.45,2.45,0,1,NA,NA
6,21,21,11:05:00,0,22.3,29.76,0.832,29.5,1.408,0,1,NA,NA
6,21,21,11:10:00,0.41,22,50.12,6.817,26.65,3.609,0,1,NA,NA
6,21,21,11:15:00,-0.03,22,45.84,3.227,47.32,1.945,0,1,NA,NA
6,21,21,11:20:00,0.51,21.9,69.51,2.042,40.69,1.521,0,1,NA,NA
6,21,21,11:25:00,0.48,21.7,63.65,1.828,36.46,2.768,0,1,Gavi,2
6,21,21,11:30:00,0.41,21.5,61.5,4.483,38.46,1.864,0,1,Gavi,2
6,21,21,11:35:00,0.47,21,63.19,3.82,36.53,1.78,0,1,Gavi,2
6,21,21,11:40:00,0.49,20.6,66.32,2.854,38.37,2.606,0,1,Gavi,2
6,21,21,11:45:00,0.43,20.4,65.3,4.045,41.02,1.655,0,1,Gavi,2
6,21,21,11:50:00,-0.11,20.2,32.57,2.18,38.54,3.26,0,1,NA,NA
6,21,21,11:55:00,0.02,19.6,31.92,1.621,30.92,1.123,0,1,NA,NA
6,21,21,12:00:00,0.33,19.3,48.3,3.127,29.88,1.761,0,1,NA,NA
6,21,21,12:05:00,0.1,19.3,36.79,1.194,31.12,3.479,0,1,NA,NA
6,21,21,12:10:00,0.31,19.2,59.51,18.877,41.72,17.894,0,1,NA,NA
6,21,21,12:15:00,1.19,19.7,155.29,5.184,87.78,11.186,0,1,NA,NA
6,21,21,12:20:00,1.1,20.9,111.56,3.27,49.51,3.692,0,1,NA,NA
6,21,21,12:25:00,0.86,21.8,92.71,1.894,44.04,2.807,0,1,Guar,5
6,21,21,12:30:00,0.71,22.5,86.2,1.473,45.83,1.63,0,1,Guar,5
6,21,21,12:35:00,0.7,22.9,87.07,2.271,47.32,1.109,0,1,Guar,5
6,21,21,12:40:00,0.06,23.4,47.17,1.815,44,1.471,0,1,NA,NA
6,21,21,12:45:00,0.2,23.6,56.83,1.848,45.32,2.227,0,1,Guar,2
6,21,21,12:50:00,0.23,24,56.52,2.72,43.4,2.899,0,1,Guar,2
6,21,21,12:55:00,0.26,24.2,60.27,1.325,45.3,2.042,0,1,Guar,2
6,21,21,13:00:00,0.18,24,54.91,1.637,44.48,1.459,0,1,Guar,2
6,21,21,13:05:00,0.07,23.4,51.1,2.865,47.25,1.336,0,1,NA,NA
6,21,21,13:10:00,0.29,23,57.28,2.752,40.63,3.544,0,1,Guar,1
6,21,21,13:15:00,0.23,22.8,51.26,1.174,38.33,0.796,0,1,Guar,1
6,21,21,13:20:00,0.2,22.8,50.97,1.508,39.45,2.125,0,1,Guar,1
6,21,21,13:25:00,0.19,22.4,44.99,3.026,34.49,2.226,0,1,NA,NA
6,21,21,13:30:00,-0.84,22.2,52.7,3.524,100.3,27.876,0,1,NA,NA
6,21,21,13:35:00,1.93,22.2,156.84,41.085,47.64,4.628,0,1,NA,NA
6,21,21,13:40:00,1.01,21.4,380.79,14.84,323.82,14.379,0,1,NA,NA
6,21,21,13:45:00,1.63,20.9,490.71,13.539,398.41,12.625,0,1,NA,NA
6,21,21,13:50:00,-3.77,20.6,242.53,5.175,455.78,48.41,0,1,NA,NA
6,21,21,13:55:00,0.64,20.6,334.23,8.873,298.24,6.115,0,1,NA,NA
6,21,21,14:00:00,1.14,20.6,427.75,3.634,363.28,6.768,0,1,NA,NA
6,21,21,14:05:00,0.96,20.8,489.48,3.01,434.98,10.289,0,1,NA,NA
6,21,21,14:10:00,-5.15,21,164.02,33.008,455.52,49.548,0,1,NA,NA
6,21,21,14:15:00,-0.38,21.1,74.84,0.481,96.34,4.815,0,1,NA,NA
6,21,21,14:20:00,0,21.1,94.93,9.24,95.21,9.003,0,1,NA,NA
6,21,21,14:25:00,0.13,21.1,106.8,11.267,99.63,8.24,0,1,NA,NA
6,21,21,14:30:00,-0.33,21.1,61.32,3.35,80.21,4.82,0,1,NA,NA
6,21,21,14:35:00,0.13,21,80.07,5.006,72.61,2.504,0,1,NA,NA
6,21,21,14:40:00,0.45,21.1,157.3,11.598,132.05,13.798,0,1,NA,NA
6,21,21,14:45:00,-0.51,21.3,62.24,6.449,90.82,10.424,0,1,NA,NA
6,21,21,14:50:00,0.11,21.3,62.09,3.972,56.14,5.087,0,1,NA,NA
6,21,21,14:55:00,0.03,21.4,65.23,5.984,63.51,6.723,0,1,NA,NA
6,21,21,15:00:00,-0.15,21.3,49.56,6.897,57.77,4.782,0,1,NA,NA
6,21,21,15:05:00,0.08,21.3,66,6.707,61.53,7.975,0,1,NA,NA
6,21,21,15:10:00,0.15,21.4,67.08,8.641,58.77,3.037,0,1,NA,NA
6,21,21,15:15:00,0.59,22.1,84.18,1.155,50.62,2.268,0,1,Parq,5
6,21,21,15:20:00,0.53,22.6,78.55,3.789,48.34,3.318,0,1,Parq,5
6,21,21,15:25:00,0.51,22.6,77.64,5.448,48.91,3.35,0,1,Parq,5
6,21,21,15:30:00,-0.12,22.4,35.01,2.177,41.85,1.565,0,1,NA,NA
