x,w,d,notes,Waypoint,lat,lon,ele,x_new
0,44,2,"low flow <.01, point 17",146,-0.328952987,-78.20156998,4102.436035,200
6,NA,NA,underground,,,,,194
21,NA,NA,underground,,,,,179
22,7,4,visible flow,,,,,178
30,35,6,,,,,,170
32,30,2,,,,,,168
32.1,NA,NA,wetland inlet -> less flow,,,,,167.9
39,NA,NA,wetland outlet -> stream,,,,,161
40,33,7,point 16,147,-0.329235038,-78.20173401,4093.388184,160
50,15,7.5,,148,-0.329264039,-78.20182797,4093.126953,150
58,18,4,point 15,149,-0.329302009,-78.20188103,4092.684082,142
60,NA,NA,culvert under road,,,,,140
69,NA,NA,culvert under road,,,,,131
70,80,2.2,,,,,,130
75,103,8,point 14,150,-0.329456991,-78.20189897,4089.276855,125
74.9,NA,NA,"flow widens over vegetation, lots of little trickles",,,,,125.1
80,28,0.5,"flow widens over vegetation, lots of little trickles",,,,,120
87,26,1.5,"flow widens over vegetation, lots of little trickles",151,-0.329547012,-78.201904,4087.98584,113
90,23,0.5,"flow widens over vegetation, lots of little trickles",,,,,110
100,14,1.5,"point 12, flow widens over vegetation, lots of little trickles",152,-0.329680033,-78.20193099,4086.093994,100
110,9,2,,,,,,90
113,7.5,6,point 11,153,-0.32978598,-78.20193904,4086.057861,87
120,15,5.5,,,,,,80
130,13,2,,,,,,70
133,7,2,point 10,154,-0.329960994,-78.20200802,4084.029053,67
140,33,1.5,,,,,,60
147,12,1.5,point 9,155,-0.330072977,-78.20205001,4082.817383,53
150,20,11,,156,-0.330080017,-78.20206703,4076.604736,50
160,26,3,point 8,157,-0.330141038,-78.20214397,4079.083984,40
170,46,2,,,,,,30
174,NA,NA,wetland inlet,,,,,26
180,144,7,,,,,,20
190,40,5.5,point 6,158,-0.330384029,-78.20224204,4076.463379,10
200,41,1.5,point 5,159,-0.330466004,-78.20225503,4076.879639,0
