Wetland,x,w,d,notes,Waypoint,lat,lon,ele,
GAVI,0,90,60,very turbulent,106,-0.331604015,-78.20378498,4056.347412,2021-07-23T17:10:13Z
GAVI,10,120,25,,,,,,
GAVI,16,NA,NA,10m waterfall,105,-0.33160896,-78.203673,4058.351562,2021-07-23T17:05:28Z
GAVI,16,NA,NA,top of waterfall,107,-0.331603009,-78.20364802,4061.853516,2021-07-23T17:13:24Z
GAVI,27,NA,NA,culvert under rd,108,-0.331422966,-78.20342699,4064.566895,2021-07-23T17:33:05Z
GAVI,30,95,35,,,,,,
GAVI,34,NA,NA,,,,,,
GAVI,40,70,60,,,,,,
GAVI,45,NA,NA,2m wf,also 108?,-0.331422966,-78.20342699,4064.566895,2021-07-23T17:33:05Z
GAVI,50,75,25,,,,,,
GAVI,60,78,6,,109,-0.331352977,-78.20337502,4064.775391,2021-07-26T14:50:59Z
GAVI,62,NA,NA,waterfall,,,,,
GAVI,64,NA,NA,top of waterfall - > still very steep,,,,,
GAVI,70,47,10,,,,,,
GAVI,80,53,77,,,,,,
GAVI,83,NA,NA,"culvert, tributary river rt",110,-0.331275025,-78.20325298,4067.897949,2021-07-26T15:05:11Z
GAVI,88,NA,NA,entrance to culvert,,,,,
GAVI,89,NA,NA,"tributarty river rt, trib mputh W 14, d 11",111,-0.331234038,-78.20316204,4067.694336,2021-07-26T15:07:13Z
GAVI,89.1,22,21,,,,,,
GAVI,90,22,8,,,,,,
GAVI,100,64,10,,112,-0.331178969,-78.20308501,4067.178711,2021-07-26T15:12:20Z
GAVI,103.4,NA,NA,"tributary river left w: 40, d:1.5",,,,,
GAVI,103.5,83,17,,,,,,
GAVI,104.3,41,30,syn 4,116,-0.331178969,-78.20305802,4069.87085,2021-07-26T15:48:45Z
GAVI,109,NA,NA,,,,,,
GAVI,110,76,6,,,,,,
GAVI,115,83,17,stn4,113,-0.331091965,-78.20295501,4070.381592,2021-07-26T15:33:33Z
GAVI,117.5,NA,NA,waterfall 1 m high,,,,,
GAVI,120,50,9,,,,,,
GAVI,128,NA,NA,syn ?,115,-0.33102097,-78.20287697,4070.967529,2021-07-26T15:46:59Z
GAVI,130,49,15,,,,,,
GAVI,137,NA,NA,steep slope,,,,,
GAVI,140,NA,NA,steep slope,,,,,
GAVI,140,53,14,,,,,,
GAVI,150,41,16,syn,114,-0.330912005,-78.20271604,4075.328857,2021-07-26T15:45:06Z
GAVI,151,59,10,syn?,117,-0.330879986,-78.20269399,4069.949463,2021-07-26T15:52:55Z
GAVI,160,50,23,,,,,,
GAVI,170,56,23,,,,,,
GAVI,176,48,17,syn,118,-0.330735985,-78.20253499,4074.868896,2021-07-26T16:00:44Z
GAVI,180,53,9,,,,,,
GAVI,180,NA,NA,underground,,,,,
GAVI,189,NA,NA,"little trib, river rt",,,,,
GAVI,190,NA,NA,underground,,,,,
GAVI,191,NA,NA,underground,,,,,
GAVI,192,36,15,,,,,,
GAVI,195,NA,NA,"this is where it is less incized, bank < 1M",,,,,
GAVI,200,56,19,syn,119,-0.330602964,-78.20237104,4076.172363,2021-07-26T16:11:33Z
GAVI,204,NA,NA,"log jam, moving slowly and deep",,,,,
GAVI,210,48,87,,,,,,
GAVI,217,NA,NA,,,,,,
GAVI,218,60,21,syn,120,-0.330502968,-78.20223299,4075.451172,2021-07-26T16:22:05Z
GAVI,220,61,18,,,,,,
GAVI,230,53,9,,,,,,
GAVI,240,61,8,,,,,,
GAVI,243,84,13,syn,121,-0.330390986,-78.20202897,4074.588623,2021-07-26T16:26:47Z
GAVI,250,64,13,,122,-0.330351004,-78.20198203,4077.988525,2021-07-26T16:29:44Z
GAVI,260,57,9,,,,,,
GAVI,266,81,9,syn,123,-0.330260983,-78.20186402,4075.126709,2021-07-26T16:48:07Z
GAVI,270,56,27,,,,,,
GAVI,274,NA,NA,steep slope,,,,,
