OBJECTID,Field1,lat_fit,lon_fit,ele_fit,x_pred,x,d,w,Flux_ave,adjusted_ppm,DOC,TDN,notes,ele_raster,dist_diff,slope
1,1,-0.328181993,-78.20049178,NA,0,0,NA,NA,NA,NA,NA,NA,wetland outlet,4124.947754,,
2,2,-0.328191993,-78.20050185,NA,1.579386786,5,28,61,NA,NA,NA,NA,stn 1,4124.760254,5,0.0375
3,3,-0.328199993,-78.20050987,NA,2.842896216,9,17,83,NA,NA,NA,NA,,4124.494141,4,0.06652832
4,4,-0.328268993,-78.20057258,4103.75608780039,13.17601052,18,NA,NA,NA,NA,NA,NA,part of wet land drains here,4124.797363,9,-0.033691406
5,5,-0.328274993,-78.20057718,4103.71223815308,14.0680585,19,19,90,NA,NA,NA,NA,,4124.841797,1,-0.044433594
6,6,-0.328343993,-78.20061714,4103.3254665015,22.98853829,29,15,53,NA,NA,NA,NA,,4124.830566,10,0.001123047
7,7,-0.328457993,-78.20063376,4102.94576894711,35.95660425,39,34,63,NA,NA,NA,NA,,4125.128418,10,-0.029785156
8,8,-0.328554993,-78.20061745,4102.8662579449,46.90087713,49,37,99,NA,NA,NA,NA,,4125.212402,10,-0.008398438
9,9,-0.328583993,-78.20061072,4102.7875768552,50.184159,52,58,83,NA,NA,NA,NA,syn,4124.672852,3,0.17985026
10,10,-0.328618993,-78.20060281,4102.62358621739,54.17863957,56,24,56,NA,NA,NA,NA,stn 2,4124.134766,4,0.134521484
11,11,-0.328644993,-78.20059754,4102.45319322439,57.1745,59,23,72,NA,NA,NA,NA,,4124.46582,3,-0.110351563
12,12,-0.328743993,-78.20058706,4101.42957357145,68.22910237,69,"14,5",56,NA,NA,NA,NA,,4123.754395,10,0.071142578
13,13,-0.328839993,-78.20059719,4099.83702105538,79.03715067,79,14,75,NA,NA,NA,NA,,4122.79541,10,0.095898438
14,14,-0.328907993,-78.20061753,4098.20839379223,86.96456534,89,7,48,NA,NA,NA,NA,little waterfall,4121.566895,10,0.122851563
15,15,-0.328911993,-78.20061905,4098.09585677923,87.43295192,89.5,NA,NA,NA,NA,NA,NA,"little trib, river rt",4121.549316,0.5,0.03515625
16,16,-0.328984993,-78.20065225,4095.92402852142,96.33229683,99,6,62,NA,NA,NA,NA,,4120.394043,9.5,0.12160773
