lat_fit,lon_fit,ele_fit,x_pred,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff_middle,dist_diff_up,dist_diff,ele_diff_mid,slope_mid,ele_diff_mid,slope_up,Q_m_s,WaterTemp_c,catchment_ha
-0.340086411,-78.19951187,3948.640213,2.774599164,,,,44386,0.175,701.356737,,,6.932,626.0484,old,EOS_2,,,,,,,0.017265987,,0.017265987,0.08249643,7.28,50.5062
-0.340086411,-78.19951187,3948.640213,2.774599164,0,53,35,,NA,NA,,,,,,,synop 0,3946.07251,,,,,,,,,,
-0.340184411,-78.19950195,3948.289113,14.77237845,10,25,60,,NA,NA,,,,,,,,3946.07251,23.99555858,,10,-0.414307,0.017265987,,,,,
-0.340283411,-78.1995384,3947.888229,26.77015774,20,20,84,,NA,NA,,,,,,,,3945.658203,23.99555858,23.99555858,10,-1.729248,0.072065336,-0.414307,0.017265987,,,
-0.340388411,-78.19955774,3947.437519,38.76793703,30,27,60,,NA,NA,,,,,,,,3944.343262,23.99555858,23.99555858,10,-2.213623,0.092251364,-1.729248,0.072065336,,,
-0.340495411,-78.19957606,3946.933861,50.76571632,40,14,84,,NA,NA,,,,,,,,3943.44458,21.22499648,23.99555858,10,-1.426026,0.06718616,-2.213623,0.092251364,,,
-0.340516411,-78.19957846,3946.830137,53.16527218,,,,44386,0.175,NA,,,NA,NA,NA,EOS_1,,,,,,,,,,,,53.4267
-0.340516411,-78.19957846,3946.830137,53.16527218,42,NA,NA,,NA,NA,,,,,,,synop 1,3943.261963,,,,,,,,,,
-0.340577411,-78.19957192,3946.516746,59.99293351,50,30,57,,NA,NA,,,,,,,,3942.917236,15.36223799,21.22499648,10,-0.412109,0.026826104,-1.426026,0.06718616,,,
-0.340644411,-78.19953526,3946.103863,68.52751017,60,24,50,,NA,NA,,,,,,,,3942.849854,17.06915332,17.76179385,10,-0.067382,0.003947589,-0.594726,0.033483442,,,
-0.340699411,-78.19948173,3945.665161,77.06208683,70,25,55,,NA,NA,,,,,,,,3942.849854,17.06915332,17.06915332,10,0,0,-0.067382,0.003947589,,,
-0.340746411,-78.19942263,3945.20875,85.59666349,80,25,95,,NA,NA,,,,,,,,3942.849854,17.06915332,17.06915332,10,0,0,0,0,,,
-0.340791411,-78.1993596,3944.714447,94.13124015,90,24,40,,NA,NA,,,,,,,,3942.849854,17.34604601,17.06915332,10,0,0,0,0,,,
-0.340804411,-78.19934106,3944.56463,96.69161314,,,,44386,0.16,883.8983801,,,6.927,626.2844,old,EOS_2,,,,,,,,,,,7.179,75.6369
-0.340804411,-78.19934106,3944.56463,96.69161314,93,NA,NA,,NA,NA,,,,,,,synop 2,3942.849854,,,,,,,,,,
-0.340837411,-78.19929476,3944.176037,102.9427095,100,24,70,,NA,NA,,,,,,,,3942.849854,15.18123396,17.34604601,10,0,0,0,0,,,
-0.340886411,-78.19923157,3943.600605,111.8728471,110,31,30,,NA,NA,,,,,,,,3942.849854,17.8602752,17.74160695,10,0,0,0,0,,,
-0.340941411,-78.19917358,3942.994006,120.8029847,120,26,60,,NA,NA,,,,,,,,3942.849854,17.8602752,17.8602752,10,0,0,0,0,,,
-0.341005411,-78.19912655,3942.362397,129.7331223,130,18,75,,NA,NA,,,,,,,,3942.849854,16.9672615,17.8602752,10,0,0,0,0,,,
-0.341072411,-78.19909868,3941.763139,137.7702462,139,NA,NA,,NA,NA,,,,,,,syn 3,3942.849854,,,,,,,,,,
-0.341080411,-78.19909647,3941.693507,138.6632599,140,47,58,,NA,NA,,,,,,,,3942.849854,16.9672615,17.8602752,10,0,0,0,0,,,
-0.341150411,-78.19908133,3941.082992,146.7003838,149,NA,NA,,NA,NA,,,,,,,waterfall upstream,3942.849854,,,,,,,,,,
-0.341158411,-78.19907957,3941.012121,147.5933975,,,,44386,1.25,NA,,,NA,NA,NA,EOS_1,,,,,,,,,,,,78.12
-0.341158411,-78.19907957,3941.012121,147.5933975,150,22,80,,NA,NA,,,,,,,,3942.849854,18.2944441,17.8602752,10,0,0,0,0,,,
-0.341237411,-78.19905013,3940.219686,156.957704,160,31,96,,NA,NA,,,,,,,,3942.849854,18.7286129,18.2944441,10,-0.518555,0.027687849,0,0,,,
-0.341301411,-78.19899758,3939.345254,166.3220104,170,25,100,,NA,NA,,,,,,,,3942.331299,18.7286129,18.7286129,10,-2.99292,0.15980468,-0.518555,0.027687849,,,
-0.341354411,-78.19893067,3938.413039,175.6863169,180,24,65,,NA,NA,,,,,,,,3939.856934,18.7286129,18.7286129,10,-5.530274,0.295284762,-2.99292,0.15980468,,,
-0.341363411,-78.19891757,3938.241356,177.5591782,182,NA,NA,,NA,NA,,,,,,,syn 4,3939.856934,,,,,,,,,,
-0.341400411,-78.19886054,3937.530868,185.0506233,190,30,60,,NA,NA,,,,,,,,3936.801025,18.7286129,18.7286129,10,-5.490723,0.293172966,-5.530274,0.295284762,,,
-0.341418411,-78.19883202,3937.200137,188.7963459,194,NA,NA,,NA,NA,,,,,,,waterfall downstream,3934.958008,,,,,,,,,,
-0.341445411,-78.19879016,3936.748874,194.4149298,,,,44386,0.075,761.8216451,,,6.925,626.2944,old,EOS_2,,,,,,,,,,,7.129,79.4763
-0.341445411,-78.19879016,3936.748874,194.4149298,200,35,44,,NA,NA,,,,,,,,3934.366211,18.9748954,18.7286129,10,-2.434814,0.128317651,-5.490723,0.293172966,,,
-0.341497411,-78.19872047,3935.96753,204.0255187,210,42,32,,NA,NA,,,,,,,,3934.366211,19.2211778,18.9748954,10,0,0,-2.434814,0.128317651,,,
-0.341534411,-78.19868622,3935.502355,209.7918721,216,NA,NA,,NA,NA,,,,,,,syn 5,3934.366211,,,,,,,,,,
-0.341542411,-78.19868094,3935.413876,210.7941443,,,,44384,2.47,840.9457288,,,6.872,626.0604,old,EOS_2,,,,,,,,,,,7.832,80.2476
-0.341565411,-78.19867031,3935.179784,213.6361076,220,27,48,,NA,NA,,,,,,,,3934.366211,19.2211779,19.2211778,10,-0.073975,0.003848619,0,0,,,
