lat_fit,lon_fit,ele_fit,x_pred,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff_middle,dist_diff_up,dist_diff,ele_diff_mid,slope_mid,ele_diff_mid,slope_up,Q_m_s,WaterTemp_c,catchment_ha
-0.341647411,-78.19868567,3934.398063,223.2466966,230,27,30,,NA,NA,,,,,,,,3934.292236,19.2211779,19.2211779,10,-0.403076,0.020970411,-0.073975,0.003848619,,,
-0.341714411,-78.19874079,3933.658085,232.8572855,240,20,77,,NA,NA,,,,,,,,3933.963135,19.2211778,19.2211779,10,-0.720459,0.037482563,-0.403076,0.020970411,,,
-0.341779411,-78.19879692,3933.005891,242.4678744,,,,44386,0.505,NA,,,NA,NA,NA,EOS_1,,,,,,,,,,,,80.2764
-0.341779411,-78.19879692,3933.005891,242.4678744,250,38,60,,NA,NA,,,,,,,,3933.571777,19.6005993,19.2211778,10,-0.644776,0.032895729,-0.720459,0.037482563,,,
-0.341862411,-78.19882813,3932.419078,252.4578848,260,53,44,,NA,NA,,,,,,,,3933.318359,19.9800208,19.6005993,10,-0.78833,0.039455915,-0.644776,0.032895729,,,
-0.341888411,-78.19882458,3932.26404,255.4548879,263,NA,NA,,NA,NA,,,,,,,syn 6,3933.21582,,,,,,,,,,
-0.341937411,-78.19880158,3931.962885,261.4942155,,,,44384,1.73,727.4525297,,,6.872,626.0604,new,EOS_1,,,,,,,,,,,7.832,80.2872
-0.341944411,-78.1987968,3931.918043,262.4478952,270,17,15,,NA,NA,,,,,,,weland-y,3932.783447,19.9800208,19.9800208,10,-0.885009,0.044294699,-0.78833,0.039455915,,,
-0.342012411,-78.19873731,3931.468448,272.4379056,280,35,60,,NA,NA,,,,,,,,3932.43335,19.9800208,19.9800208,10,-1.013183,0.050709807,-0.885009,0.044294699,,,
-0.342049411,-78.19869943,3931.224053,278.4319119,286,NA,NA,,NA,NA,,,,,,,Lots ground water bubbling up,3932.022461,,,,,,,,,,
-0.342074411,-78.19867324,3931.062159,282.427916,290,100,40,,NA,NA,,,,,,,,3931.770264,19.9800208,19.9800208,10,-0.929688,0.046530882,-1.013183,0.050709807,,,
-0.342136411,-78.19860841,3930.669343,292.4179264,300,29,46,,NA,NA,,,,,,,syn 7,3931.503662,20.6672409,19.9800208,10,-0.351319,0.016998834,-0.929688,0.046530882,,,
-0.342138411,-78.19860632,3930.656714,292.7399986,,,,44384,0.625,1011.31155,,,6.872,625.9294,old,EOS_2,,,,,,,,,,,7.882,105.3261
-0.342143411,-78.19860107,3930.625095,293.4856495,301,NA,NA,,NA,NA,,,,,,,little trib come in,3931.503662,,,,,,,,,,
-0.342201411,-78.19853818,3930.256991,303.0951569,310,72,62,,NA,NA,,,,,,,,3931.418945,21.3544609,20.6672409,10,-0.216064,0.01011798,-0.351319,0.016998834,,,
-0.342261411,-78.19846347,3929.875136,313.7723873,320,96,64,,NA,NA,,,,,,,,3931.287598,21.3544608,21.3544609,10,-0.598144,0.02801026,-0.216064,0.01011798,,,
-0.342314411,-78.19838358,3929.554782,324.4496177,330,51,30,,NA,NA,,,,,,,,3930.820801,21.3544609,21.3544608,10,-1.236573,0.057907011,-0.598144,0.02801026,,,
-0.342352411,-78.19831724,3929.358948,332.9914021,338,NA,NA,,NA,NA,,,,,,,"lots of wetland planTs in river, then water spreads out wide, lots of sixta, but still a channel runs through",3930.222168,,,,,,,,,,
-0.342361411,-78.19830049,3929.317228,335.1268482,340,42,80,,NA,NA,,,,,,,,3930.051025,21.3544609,21.3544609,10,-1.026123,0.048051927,-1.236573,0.057907011,,,
-0.342405411,-78.19821444,3929.133973,345.8040786,350,107,50,,NA,NA,,,,,,,syn 8,3929.794678,20.2535651,21.3544609,10,-0.379882,0.018756303,-1.026123,0.048051927,,,
-0.342443411,-78.19813696,3928.991438,355.3804133,360,80,30,,NA,NA,,,,,,,,3929.671143,20.2535651,20.2535651,10,-0.379882,0.018756303,-0.379882,0.018756303,,,
-0.342447411,-78.1981288,3928.978877,356.3380468,361,NA,NA,,NA,NA,,,,,,,inflow of small lake,3929.671143,,,,,,,,,,
-0.342481411,-78.1980604,3928.92821,364.956748,370,NA,NA,,NA,NA,,,,,,,no channel,3929.55127,19.1526694,,10,-0.199952,0.010439902,,,,,
-0.342521411,-78.197985,3928.957834,374.5330827,380,70,400,,NA,NA,,,,,,,,3929.471191,19.1526694,19.1526694,10,-0.125733,0.006564777,-0.199952,0.010439902,,,
-0.342566411,-78.19791141,3929.033885,384.1094174,390,30,70,,NA,NA,,,,,,,,3929.425537,19.1526694,19.1526694,10,-0.045654,0.002383689,-0.125733,0.006564777,,,
-0.342597411,-78.1978696,3929.081848,389.8552182,396,NA,NA,,NA,NA,,,,,,,outflow of small lake,3929.425537,,,,,,,,,,
-0.342620411,-78.19784369,3929.108069,393.6857521,400,71,140,,NA,NA,,,,,,,,3929.425537,18.585339,19.1526694,10,-0.006348,0.00034156,-0.045654,0.002383689,,,
-0.342624411,-78.19783963,3929.111674,394.3199652,,,,44384,2.45,1273.369103,,,6.873,625.5694,old,EOS_2,,,,,,,,,,,8.0325,166.113
-0.342663411,-78.19780683,3929.131746,399.9920551,407,NA,NA,,NA,NA,,,,,,,channel spreads into wetland,3929.425537,,,,,,,,,,
-0.342684411,-78.19779388,3929.131643,402.6947564,410,55,170,,NA,NA,,,,,,,,3929.419189,18.0180086,18.585339,10,-0.193115,0.010717888,-0.006348,0.00034156,,,
-0.342760411,-78.19776789,3929.081517,411.7037607,420,22,140,,NA,NA,,,,,,,,3929.232422,18.0180085,18.585339,10,-0.433837,0.024077966,-0.006348,0.00034156,,,
-0.342840411,-78.19775714,3929.030204,420.7127649,430,80,170,,NA,NA,,,,,,,,3928.985352,18.0180085,18.0180085,10,-0.272949,0.015148678,-0.433837,0.024077966,,,
-0.342920411,-78.19774444,3928.986154,429.7217692,440,69,90,,NA,NA,,,,,,,,3928.959473,18.0180086,18.0180085,10,-0.025879,0.001436285,-0.272949,0.015148678,,,
-0.342959411,-78.19773617,3928.962777,434.2262713,445,NA,NA,,NA,NA,,,,,,,syn 9,3928.959473,,,,,,,,,,
-0.342972411,-78.1977334,3928.954298,435.6600187,,,,44384,0.485,1055.136888,,,6.872,625.7914,new,EOS_1,,,,,,,,,,,7.983,166.4082
-0.342974411,-78.19773291,3928.952947,435.8891252,,,,44384,2.08,1384.809342,,,6.875,625.6154,new,EOS_1,,,,,,,,,,,,168.0885
-0.342999411,-78.19772783,3928.935206,438.7307735,450,85,130,,NA,NA,,,,,,,,3928.959473,18.7166115,18.0180086,10,0,0,-0.025879,0.001436285,,,
-0.343086411,-78.19772039,3928.85519,448.4383807,460,25,50,,NA,NA,,,,,,,,3928.959473,19.4152144,18.7166115,10,-0.073487,0.003785021,0,0,,,
-0.343170411,-78.1977415,3928.732243,458.1459879,470,23,54,,NA,NA,,,,,,,,3928.885986,19.4152144,19.4152144,10,-0.224366,0.011556195,-0.073487,0.003785021,,,
-0.343244411,-78.19778552,3928.550072,467.8535951,480,32,23,,NA,NA,,,,,,,Wetland drains and becomes turbulent,3928.735107,19.4152144,19.4152144,10,-0.717041,0.036931913,-0.224366,0.011556195,,,
-0.343313411,-78.19783968,3928.279901,477.5612023,490,16,40,,NA,NA,,,,,,,,3928.168945,19.4152144,19.4152144,10,-1.483154,0.076391327,-0.717041,0.036931913,,,
-0.343381411,-78.19789407,3927.929547,487.2688095,500,14,75,,NA,NA,,,,,,,syn 10,3927.251953,19.3127948,19.4152144,10,-1.485351,0.076910205,-1.483154,0.076391327,,,
-0.343413411,-78.1979178,3927.750997,491.7076347,,,,44384,2.31,1250.423056,,,6.875,625.6154,old,EOS_2,,,,,,,,,,,8.082,169.7688
-0.343451411,-78.19794362,3927.536654,496.8739971,510,90,80,,NA,NA,,,,,,,,3926.683594,19.2103751,19.3127948,10,-1.204101,0.062679724,-1.485351,0.076910205,,,
-0.343525411,-78.19798824,3927.12514,506.4791846,520,40,31,,NA,NA,,,,,,,,3926.047852,19.2103751,19.2103751,10,-1.515869,0.07890887,-1.204101,0.062679724,,,
-0.343599411,-78.19803355,3926.729032,516.0843722,530,82,90,,NA,NA,,,,,,,,3925.167725,19.2103752,19.2103751,10,-1.348145,0.070177963,-1.515869,0.07890887,,,
-0.343659411,-78.19807668,3926.430387,524.3889457,,,,44384,2.105,1019.784908,,,6.877,625.5754,new,EOS_1,,,,,,,,,,,8.182,169.7769
-0.343668411,-78.19808396,3926.388273,525.6895598,540,56,73,,NA,NA,,,,,,,,3924.699707,14.0036014,19.2103752,10,-0.717529,0.051238891,-1.348145,0.070177963,,,
-0.343733411,-78.19814063,3926.102649,535.2947473,550,37,72,,NA,NA,,,,,,,,3924.357666,14.0036014,19.2103751,10,-0.717529,0.051238891,-0.810059,0.042167787,,,
-0.343762411,-78.19816773,3925.97816,539.6931612,560,55,41,,NA,NA,,,,,,,,3923.982178,8.7968279,14.0036014,10,-0.640381,0.072796809,-0.717529,0.051238891,,,
-0.343791411,-78.19819422,3925.856374,544.0915752,570,96,67,,NA,NA,,,,,,,,3923.717285,8.7968279,8.7968279,10,-0.550049,0.062528107,-0.640381,0.072796809,,,
-0.343821411,-78.19822009,3925.732377,548.4899891,580,50,40,,NA,NA,,,,,,,,3923.432129,8.7968278,8.7968279,10,-0.604004,0.068661569,-0.550049,0.062528107,,,
-0.343852411,-78.19824346,3925.607449,552.888403,590,100,100,,NA,NA,,,,,,,syn 11,3923.113281,8.7968278,8.7968278,10,-0.685059,0.077875686,-0.604004,0.068661569,,,
-0.343886411,-78.1982639,3925.473951,557.2868169,600,116,80,,NA,NA,,,,,,,,3922.74707,14.0622555,8.7968278,10,-0.55957,0.039792336,-0.685059,0.077875686,,,
-0.343888411,-78.19826491,3925.466279,557.5362527,,,,44384,1.95,1218.528675,,,6.877,625.5754,old,EOS_2,,,,,,,,,,,8.182,171.0621
-0.343969411,-78.19828117,3925.171964,566.9506585,610,26,95,,NA,NA,,,,,,,,3922.553711,19.3276832,14.0622555,10,-0.373779,0.019339048,-0.55957,0.039792336,,,
-0.344050411,-78.1982526,3924.860575,576.6145001,620,16,120,,NA,NA,,,,,,,,3922.373291,19.3276832,19.3276832,10,-0.4375,0.022635926,-0.373779,0.019339048,,,
-0.344086411,-78.19822971,3924.706989,581.4464209,625,NA,NA,,NA,NA,,,,,,,syn 12,3922.308838,,,,,,,,,,
-0.344104411,-78.19821715,3924.628748,583.8437892,,,,44384,1.185,1313.90785,,,6.879,625.5334,new,EOS_1,,,,,,,,,,,8.232,172.3824
-0.344122411,-78.19820485,3924.551611,586.2783417,630,45,130,,NA,NA,,,,,,,slower moving wetland,3922.116211,19.3276832,,10,-0.546387,0.028269658,,,,,
-0.344197411,-78.19816312,3924.252769,595.9421833,640,13,71,,NA,NA,,,,,,,,3921.826904,19.9369817,19.3276832,10,-0.126953,0.006367714,-0.546387,0.028269658,,,
-0.344281411,-78.19816314,3923.976473,605.606025,650,13,20,,NA,NA,,,,,,,underground,3921.699951,19.9369817,19.3276833,10,-0.126953,0.006367714,-0.41626,0.021536984,,,
-0.344323411,-78.19818839,3923.845476,611.138713,,,,44384,1.23,1340.152269,,,6.881,625.6254,old,EOS_2,,,,,,,,,,,8.282,173.1636
-0.344354411,-78.19821808,3923.743901,615.879165,660,38,40,,NA,NA,,,,,,,"syn 13, mostly underground but turbulent when apears",3921.699951,20.5462801,19.9369817,10,0,0,-0.126953,0.006367714,,,
-0.344410411,-78.19829095,3923.540769,626.1523051,670,70,60,,NA,NA,,,,,,,mostly underground but turbulent when apears,3921.699951,20.5462802,20.5462801,10,0,0,0,0,,,
-0.344430411,-78.19832123,3923.458056,630.2615611,674,NA,NA,,NA,NA,,,,,,,"above ground, turbulent",3921.699951,,,,,,,,,,
-0.344460411,-78.19836905,3923.317001,636.4254452,680,45,140,,NA,NA,,,,,,,,3921.699951,20.5462802,20.5462802,10,0,0,0,0,,,
-0.344508411,-78.19844623,3923.03363,646.6985853,690,60,60,,NA,NA,,,,,,,,3921.699951,20.5462801,20.5462802,10,0,0,0,0,,,
-0.344556411,-78.19851725,3922.745229,656.2029733,,,,44384,4.315,1318.547174,,,6.882,625.6834,old,EOS_2,,,,,,,,,,,8.382,174.3336
-0.344560411,-78.19852286,3922.723752,656.9717253,700,35,90,,NA,NA,,,,,,,,3921.699951,33.5821135,20.5462801,10,-0.404785,0.012053589,0,0,,,
-0.344713411,-78.19866212,3921.977448,680.2806988,720,20,40,,NA,NA,,,,,,,,3921.295166,33.5821135,23.3089735,10,-0.404785,0.012053589,-0.404785,0.017366059,,,
-0.344770411,-78.1986922,3921.645672,687.5236374,760,22,92,,NA,NA,,,,,,,estimate x,3920.249023,23.0825564,30.5519121,10,-1.087402,0.047109253,-1.450928,0.047490579,,,
-0.344879411,-78.1987816,3920.967518,703.3632552,770,57,130,,NA,NA,,,,,,,estimate x,3920.207764,18.1692957,23.0825564,10,0.292725,0.016110971,-1.087402,0.047109253,,,
-0.344888411,-78.19879254,3920.878012,704.947217,771,NA,NA,,NA,NA,,,,,,,syn ?,3920.207764,,,,,,,,,,
-0.344892411,-78.19879791,3920.832835,705.6929331,750,10,43,,NA,NA,,,,,,,,3920.541748,18.3581975,18.1692957,10,0.765137,0.04167822,0.292725,0.016110971,,,
-0.344893411,-78.19879927,3920.821138,705.8818349,730,45,144,,NA,NA,,,,,,,,3921.01416,18.4526483,18.3581975,10,0.50293,0.027255166,0.765137,0.04167822,,,
-0.344894411,-78.19880065,3920.809175,705.9762857,740,55,65,,NA,NA,,,,,,,,3920.751953,18.5470992,18.4526483,10,1.278809,0.068949273,0.50293,0.027255166,,,
-0.344894411,-78.19880065,3920.809175,706.0235111,745,NA,NA,,NA,NA,,,,,,,syn 15,3920.751953,,,,,,,,,,
-0.344894411,-78.19880065,3920.809175,706.0707366,710,62,80,,NA,NA,,,,,,,syn 14,3921.527832,24.2973194,18.5470992,10,-0.45581,0.018759683,1.278809,0.068949273,,,
-0.344923411,-78.19884387,3920.413776,711.8209568,780,54,109,,NA,NA,,,,,,,,3919.793213,16.0951904,24.2973194,10,-0.865235,0.053757363,-0.45581,0.018759683,,,
-0.344956411,-78.19890284,3919.832317,719.4584456,790,9,135,,NA,NA,,,,,,,,3919.342529,15.2749775,16.0951904,10,-0.69751,0.04566357,-0.865235,0.053757363,,,
-0.344986411,-78.19896506,3919.173709,727.0959343,800,24,85,,NA,NA,,,,,,,,3919.095703,16.6429651,15.2749775,10,-0.725341,0.043582438,-0.69751,0.04566357,,,
-0.345018411,-78.19903949,3918.340136,736.1014107,810,29,115,,NA,NA,,,,,,,,3918.617188,18.0109528,16.6429651,10,-1.171875,0.065064576,-0.725341,0.043582438,,,
-0.345048411,-78.19911465,3917.467148,745.1068871,820,24,120,,NA,NA,,,,,,,,3917.923828,18.0109529,18.0109528,10,-0.997559,0.055386242,-1.171875,0.065064576,,,
-0.345077411,-78.19918994,3916.501066,754.1123636,830,24,130,,NA,NA,,,,,,,,3917.619629,18.0109529,18.0109529,10,-0.304199,0.016889667,-0.997559,0.055386242,,,
-0.345106411,-78.19926629,3915.369003,763.11784,840,35,124,,NA,NA,,,,,,,,3917.619629,18.0109529,18.0109529,10,0,0,-0.304199,0.016889667,,,
-0.345135411,-78.19934098,3914.252072,772.1233165,850,20,136,,NA,NA,,,,,,,,3917.619629,22.5143434,18.0109529,10,0,0,0,0,,,
-0.345182411,-78.19945321,3912.841318,785.6321834,860,20,75,,NA,NA,,,,,,,,3917.619629,27.0177338,22.5143434,10,0,0,0,0,,,
-0.345224411,-78.19953861,3911.962125,796.2714873,,,,44384,0.33,1245.17563,,,6.893,625.6874,old,EOS_2,,,,,,,,,,,8.531,175.5684
-0.345237411,-78.19956134,3911.738302,799.1410503,870,38,164,,NA,NA,,,,,,,,3917.619629,27.0177338,27.0177338,10,0,0,0,0,,,
-0.345311411,-78.19965679,3910.722947,812.6499172,880,42,92,,NA,NA,,,,,,,,3917.619629,27.0177338,27.0177338,10,-1.756348,0.065007229,0,0,,,
-0.345340411,-78.19967813,3910.408893,816.7025773,883,NA,NA,,NA,NA,,,,,,,entrance to culvert,3917.619629,,,,,,,,,,
-0.345420411,-78.19970035,3909.609812,826.1587841,890,8,157,,NA,NA,,,,,,,,3915.863281,25.4541182,27.0177338,10,-7.549316,0.29658525,-1.756348,0.065007229,,,
-0.345527411,-78.19969326,3908.495848,838.1040354,921,16,142,,NA,NA,,,,,,,syn 9,3910.070313,,,,,,,,,,
-0.345541411,-78.19969287,3908.357122,839.667651,902,NA,NA,,NA,NA,,,,,,,"Waterfall, upsteam, where exsits culvert",3912.754883,,,,,,,,,,
-0.345541411,-78.19969287,3908.357122,839.667651,915,NA,NA,,NA,NA,,,,,,,downstream of big waterfall from culvert,3911.470215,,,,,,,,,,
-0.345541411,-78.19969287,3908.357122,839.667651,900,11,182,,NA,NA,,,,,,,,3912.754883,13.5088669,22.9650737,10,-4.393066,0.325198703,-4.864746,0.21183237,,,
-0.345541411,-78.19969287,3908.357122,839.667651,910,35,163,,NA,NA,,,,,,,in waterfall,3911.470215,13.5088669,22.9650737,10,-5.792968,0.428827084,-6.149414,0.267772448,,,
-0.345541411,-78.19969287,3908.357122,839.667651,920,27,102,,NA,NA,,,,,,,,3910.070313,8.3019491,13.5088669,10,-3.068848,0.369653917,-5.792968,0.428827084,,,
-0.345614411,-78.19970309,3907.579946,847.9696001,930,19,164,,NA,NA,,,,,,,,3908.401367,19.2636876,21.810816,10,-3.745118,0.194413348,-7.461914,0.342119891,,,
-0.345685411,-78.1997354,3906.541524,856.6536941,,,,44384,0,754.3712352,,,6.890692308,625.6620154,new,EOS_1,,,,,,,,,,,8.507923077,187.7076
-0.345702411,-78.199746,3906.23972,858.9313386,940,22,150,,NA,NA,,,,,,,,3906.325195,21.9234771,19.2636876,10,-2.31665,0.105669826,-3.745118,0.194413348,,,
-0.345782411,-78.19980392,3904.797578,869.8930772,950,28,165,,NA,NA,,,,,,,,3906.084717,18.7637223,21.9234771,10,-0.240478,0.012816114,-2.31665,0.105669826,,,
-0.345839411,-78.19984534,3903.69967,877.6950609,960,20,143,,NA,NA,,,,,,,,3906.084717,16.0055742,18.7637223,10,0,0,-0.240478,0.012816114,,,
-0.345850411,-78.1998528,3903.480185,879.2554576,962,NA,NA,,NA,NA,,,,,,,waterfall,3906.084717,,,,,,,,,,
-0.345870411,-78.19986544,3903.104453,881.856259,,,,44384,0.785,764.1083701,,,6.897,625.6534,new,EOS_1,,,,,,,,,,,8.581,190.3257
-0.345874411,-78.19986784,3903.034014,882.3762511,966,23,143,,NA,NA,,,,,,,syn 8,3906.084717,,,,,,,,,,
-0.345902411,-78.19988335,3902.602311,885.8986514,970,10,161,,NA,NA,,,,,,,,3906.084717,17.0095912,16.0055742,10,-0.314942,0.018515554,0,0,,,
-0.345975411,-78.19991239,3901.571235,894.7046521,980,25,112,,NA,NA,,,,,,,,3905.769775,17.6120015,17.0095912,10,-1.818115,0.103231595,-0.314942,0.018515554,,,
-0.346052411,-78.19992794,3900.507303,903.5106529,990,24,121,,NA,NA,,,,,,,"turbulent, rock substrate",3904.266602,17.6120015,17.6120015,10,-3.427734,0.194624898,-1.818115,0.103231595,,,
-0.346131411,-78.19993661,3899.620365,912.3166536,1000,22,100,,NA,NA,,,,,,,syn 7,3902.342041,19.1460681,17.6120015,10,-3.34668,0.174797247,-3.427734,0.194624898,,,
-0.346140411,-78.19993751,3899.541458,913.3237829,,,,44384,1.81,819.375235,,,6.899,625.6314,new,EOS_1,,,,,,,,,,,8.68,190.4778
-0.346140411,-78.19993751,3899.541458,913.3506604,1001,NA,NA,,NA,NA,,,,,,,entrance to culvert,3902.342041,,,,,,,,,,
-0.346223411,-78.19994794,3899.004827,922.656721,1010,NA,NA,,NA,NA,,,,,,,underground in culvert,3900.919922,20.6801348,19.1460681,,-2.753906,0.133166734,-3.34668,0.174797247,,,
-0.346315411,-78.19996169,3898.701595,932.9967884,1020,85,NA,,NA,NA,,,,,,,top of wetland culvert,3899.588135,20.6123209,20.6801348,,-1.92041,0.093168062,-2.753906,0.133166734,,,
-0.346324411,-78.19996283,3898.685133,934.0240138,1021,85,250,,NA,NA,,,,,,,syn 6,3899.588135,,,11,,,,,,,
-0.346346411,-78.19996518,3898.653084,936.4704611,,,,44384,0.135,836.6046946,,,6.899,625.6314,old,EOS_2,,,,,,,,,,,8.68,190.8738
-0.346407411,-78.19996719,3898.615105,943.2690419,1030,22,380,,NA,NA,,,,,,,,3898.999512,20.5445069,20.6123209,10,-0.979737,0.047688514,-1.92041,0.093168062,,,
-0.346498411,-78.19995203,3898.650087,953.5412953,1040,NA,800,,NA,NA,,,,,,,,3898.608398,22.7645023,20.5445069,,-0.391114,0.017180872,-0.979737,0.047688514,,,
-0.346523411,-78.19994344,3898.669519,956.5147518,,,,44384,0.08,1345.388003,,,6.903,625.7264,old,EOS_2,,,,,,,,,,,8.7295,193.1535
-0.346541411,-78.19993614,3898.684069,958.6774221,,,,44384,0.44,1257.75926,,,6.888,625.6324,old,EOS_2,,,,,,,,,,,8.481,193.3668
-0.346541411,-78.19993614,3898.684069,958.6774221,1045,NA,1000,,NA,NA,,,,,,,,3898.608398,,,,,,,,,,
-0.346600411,-78.19990645,3898.722957,966.0335442,1050,NA,1000,,NA,NA,,,,,,,,3898.608398,22.0754721,22.7645023,,0,0,-0.391114,0.017180872,,,
-0.346673411,-78.19986186,3898.718332,975.6167674,1060,100,600,,NA,NA,,,,,,,,3898.608398,19.1664465,22.0754721,10,0,0,0,0,,,
