lat_fit,lon_fit,ele_fit,x_pred,x,d,w,Date,Flux_ave,adjusted_ppm,DOC,TDN,WaterTemp_c,BaroPress_kpa,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff,dist_diff_mid,ele_diff_mid,slope_mid,dist_diff_up,ele_diff_up,slope_up,catchment_ha,Q_m3s
-0.325231711,-78.19964972,4129.123867,118.0878397,127.8,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4125.425781,,,,,,,,,
-0.325254711,-78.19965768,4128.157539,120.7704342,130.8,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4124.786621,,,,,,,,,
-0.325292711,-78.1996705,4125.918753,125.2414249,135.8,4,47,,NA,NA,NA,NA,,,,,,,,4123.988281,10,17.883963,-4.405761,0.246352612,18.0889747,-2.313477,0.127894313,,
-0.325347711,-78.19968707,4122.542675,131.6554363,,,,6/29/21,0.54,921.9810527,NA,NA,8.16175,62.4495,7.2,626.9834,new,EOS2,,,,,,,,,,40.5378,
-0.325369711,-78.1996927,4121.876461,134.1834064,145.8,17,62,,NA,NA,NA,NA,,,,,,,,4121.02002,10,20.7736704,-7.193847,0.346296387,17.883963,-4.405761,0.246352612,,
-0.325406711,-78.19970056,4121.704053,138.3946556,,,,6/30/21,0.015,544.0804486,NA,NA,8.57975,62.372,6.828,626.2084,old,EOS2,,,,,,,,,,40.8771,
-0.325449711,-78.19970693,4121.17806,143.2847056,155.8,25,60,,NA,NA,NA,NA,,,,,,,,4117.888184,10,18.2025983,-6.375977,0.3502784,18.0432807,-6.100097,0.338081367,,
-0.325474711,-78.19970925,4120.564648,146.0150953,158.8,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4116.794434,,,,,,,,,
-0.325511711,-78.19971093,4119.182922,150.1106799,163.3,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4115.709961,,,,,,,,,
-0.325531711,-78.19971107,4118.342277,152.3860047,165.8,7,81,,NA,NA,NA,NA,,,,,,,,4114.644043,10,18.2025983,-6.34961,0.34882987,18.2025983,-6.375977,0.3502784,,
-0.325539711,-78.19971099,4117.995855,153.2961346,166.8,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4114.644043,,,,,,,,,
-0.325556711,-78.1997106,4117.396696,155.1163945,168.8,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4113.597656,,,,,,,,,
-0.325613711,-78.19970785,4115.730149,161.4873039,175.8,7,81,,NA,NA,NA,NA,,,,,,,,4111.538574,10,18.2025983,-5.896973,0.323963255,18.2025983,-6.34961,0.34882987,,
-0.325621711,-78.19970738,4115.554278,162.4082781,,,,6/29/21,0.16,496.5489676,NA,NA,8.3385,62.4499,7.206,626.9874,new,EOS2,,,,,,,,,,40.9014,
-0.325694711,-78.19970416,4114.474112,170.588603,185.8,13,38,,NA,NA,NA,NA,,,,,,,,4108.74707,10,18.2025983,-4.586914,0.251992266,18.2025983,-5.896973,0.323963255,,
-0.325695711,-78.19970414,4114.455979,170.679616,185.9,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4108.74707,,,,,,,,,
-0.325715711,-78.19970412,4114.008898,172.8639278,188.3,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4108.03418,,,,,,,,,
-0.325739711,-78.19970488,4113.151795,175.5541452,,,,6/29/21,1.91,NA,3.44,0.1274,NA,NA,NA,NA,NA,EOS2,,,,,,,,,,41.0922,
-0.325776711,-78.19970814,4111.472924,179.6899022,195.8,12,72,,NA,NA,NA,NA,,,,,,,,4106.95166,10,9.4380817,-1.79541,0.190230394,18.2025983,-4.586914,0.251992266,,
-0.325779711,-78.19970853,4111.390966,180.0266847,,,,6/30/21,0.09,924.8185183,NA,NA,8.5275,62.3602,6.823,626.0904,old,EOS2,,,,,,,,,,41.1138,
-0.326028711,-78.19981459,4110.958215,210.4247343,,,,6/29/21,0.61,1407.279904,NA,NA,8.53225,62.4384,7.215,626.8724,new,EOS2,,,,,,,,,,41.5575,
-0.326100711,-78.1998589,4109.626364,219.8367581,,,,6/30/21,0.43,789.0074568,7.943,0.2281,8.31275,62.3698,6.768,626.1864,old,EOS2,,,,,,,,,,41.5584,
-0.326343711,-78.19987522,4107.20717,248.5905299,,,,6/30/21,0.145,811.6096596,NA,NA,8.36025,62.3745,6.809,626.2334,old,EOS2,,,,,,,,,,41.5665,0.000908
