lat_fit,lon_fit,ele_fit,x_pred,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff_mid,ele_diff_mid,slope_mid,dist_diff_up,ele_diff_up,slope_up,catchment_pixel,catchment_ha,catchment_ha,Q_m_s,WaterTemp_c
-0.316461145,-78.19221412,4311.370115,119.8718803,110,7,42,,NA,NA,,,,,,,wetland outlet,4312.864746,16.3038408,-0.578613,0.035489368,7.9079578,-0.241699,0.030564022,2793,2.5137,,,
-0.316433145,-78.19223499,4311.060316,123.8258592,115,11,20,,NA,NA,,,,,,,"wetland inlet, little waterfalls",4312.728516,,,,,,,2982,2.6838,,,
-0.316402145,-78.19225936,4310.677036,128.2677633,120,7,250,,NA,NA,,,,,,,,4312.527832,17.4192912,-1.022461,0.05869705,16.3038408,-0.578613,0.035489368,2994,2.6946,,,
-0.316370145,-78.19228439,4310.270536,132.7096675,125,8,240,,NA,NA,,,,,,,,4312.295898,,,,,,,3004,2.7036,,,
-0.316351145,-78.19229854,4310.038888,135.37481,128,NA,NA,NA,NA,,,,,,,,wetland outlet,4312.109375,,,,,,,3186,2.8674,,,
-0.316337145,-78.19230849,4309.878794,137.2911715,130,5,22,,NA,NA,,,,,,,,4311.842285,18.6052156,-1.374023,0.073851496,17.4192912,-1.022461,0.05869705,3208,2.8872,,,
-0.316301145,-78.19233275,4309.510453,142.0820752,135,14,35,,NA,NA,,,,,,,,4311.648438,,,,,,,3292,2.9628,,,
-0.316266145,-78.19235746,4309.159452,146.8729789,140,8,105,44383,0.245,1578.686108,NA,NA,6.89,626.4394,new,EOS1,,4311.153809,18.46554,-1.268066,0.068672024,18.6052156,-1.374023,0.073851496,3401,3.0609,3.0609,0.0028125,9.337
-0.316240145,-78.19237995,4308.857578,150.7057019,144,NA,NA,,NA,NA,,,,,,,waterfall 167 cm,4310.852051,,,,,,,3415,3.0735,,,
-0.316234145,-78.19238596,4308.781623,151.6638827,145,30,160,,NA,NA,,,,,,,,4310.852051,,,,,,,3415,3.0735,,,
-0.316210145,-78.19241375,4308.451222,155.7567115,150,10,67,,NA,NA,,,,,,,,4310.574219,,,,,,,3428,3.0852,,,
-0.316189145,-78.19244328,4308.119248,159.8495404,155,14,50,,NA,NA,,,,,,,,4310.355957,,,,,,,3444,3.0996,,,
-0.316169145,-78.19247535,4307.761743,163.9423692,160,4,20,,NA,NA,,,,,,,,4310.230957,,,,,,,4344,3.9096,,,
-0.316151145,-78.19250632,4307.407673,168.0351981,165,13,48,,NA,NA,,,,,,,,4310.178711,,,,,,,4368,3.9312,,,
-0.316133145,-78.19253779,4307.029086,172.1280269,170,10,41,,NA,NA,,,,,,,,4309.97168,,,,,,,4394,3.9546,,,
-0.316114145,-78.19256989,4306.621156,176.2208558,175,26,79,44383,0.11,928.338098,NA,NA,6.884,626.2784,old,EOS2,,4309.753906,17.4086752,-0.890137,0.051131806,20.4641443,-0.820313,0.04008538,4399,3.9591,3.9591,,9.195
-0.316102145,-78.19258892,4306.368742,178.6765531,178,NA,NA,NA,NA,,,,,,,,,4309.512207,,,,,,,4406,3.9654,,,
-0.316092145,-78.1926038,4306.16534,180.6100732,180,3,71,,NA,NA,,,,,,,,4309.512207,,,,,,,4406,3.9654,,,
-0.316066145,-78.19263745,4305.678651,185.4438733,185,6,57,,NA,NA,,,,,,,,4309.288574,,,,,,,4410,3.969,,,
-0.316034145,-78.19266769,4305.170353,190.2776735,190,15,12,,NA,NA,,,,,,,,4309.086426,,,,,,,4671,4.2039,,,
-0.315996145,-78.19268748,4304.637167,195.1114737,195,14,30,,NA,NA,,,,,,,,4308.65918,,,,,,,4808,4.3272,,,
-0.315955145,-78.19269225,4304.128902,199.7703033,200,8,44,,NA,NA,,,,,,,,4308.436035,,,,,,,4816,4.3344,,,
-0.315938145,-78.19269047,4303.934111,201.6338351,202,NA,NA,NA,NA,,,,,,,,"wetland inlet, little waterfalls",4308.182129,,,,,,,4825,4.3425,,,
-0.315901145,-78.19268209,4303.557877,205.8888936,206,29.5,35,,NA,NA,,,,,,,,4307.893555,,,,,,,4828,4.3452,,,
-0.315864145,-78.19267163,4303.152187,210.143952,210,18,52,,NA,NA,,,,,,,,4307.578125,,,,,,,4834,4.3506,,,
-0.315817145,-78.19266229,4302.622273,215.462775,215,29,26,,NA,NA,,,,,,,,4306.885742,,,,,,,4843,4.3587,,,
-0.315779145,-78.19266217,4302.32503,219.7178335,219,NA,NA,NA,NA,,,,,,,,syn 5,4306.161133,,,,,,,4858,4.3722,,,
-0.315770145,-78.19266337,4302.271089,220.7265094,220,12,49,44383,0.235,1272.841318,NA,NA,6.879,626.3334,new,EOS1,,4306.161133,20.669317,-2.538086,0.122794865,20.9562061,-2.274902,0.10855505,4858,4.3722,,,9.0615
-0.315727145,-78.192676,4302.07636,225.7698892,225,17,42,,NA,NA,,,,,,,,4305.318848,,,,,,,4930,4.437,,,
-0.315687145,-78.19269718,4301.96409,230.813269,230,23,15,,NA,NA,,,,,,,,4305.040039,,,,,,,4940,4.446,,,
-0.315649145,-78.19272342,4301.883441,235.8566487,235,24,53,,NA,NA,,,,,,,,4304.758789,,,,,,,5202,4.6818,,,
-0.315613145,-78.19275089,4301.833403,240.9000285,240,19,42,,NA,NA,,,,,,,,4304.735352,,,,,,,5279,4.7511,,,
-0.315599145,-78.19276158,4301.836967,242.9173804,242,NA,NA,NA,NA,,,,,,,,syn 5,4304.735352,,,,,,,5279,4.7511,,,
-0.315571145,-78.19278199,4301.814516,246.7750489,245,169,41,44383,0.285,1209.46321,NA,NA,6.879,626.3334,old,EOS2,,4304.735352,21.0677577,-0.023437,0.001112458,21.0051597,-0.583496,0.027778699,5366,4.8294,4.8294,,9.0615
-0.315532145,-78.19280628,4301.802713,251.8497277,250,31,158,,NA,NA,,,,,,,,4304.735352,,,,,,,5636,5.0724,,,
-0.315491145,-78.19282419,4301.760698,256.9244064,255,31,49,,NA,NA,,,,,,,,4304.735352,,,,,,,5704,5.1336,,,
-0.315482145,-78.19282696,4301.759405,257.9393422,256,NA,NA,NA,NA,,,,,,,,"in wetland, still a channel, but very slow",4304.735352,,,,,,,5777,5.1993,,,
-0.315446145,-78.19283407,4301.690976,261.9990852,260,9,32,,NA,NA,,,,,,,,4304.735352,,,,,,,5792,5.2128,,,
-0.315428145,-78.19283571,4301.602884,264.0289567,262,NA,NA,NA,NA,,,,,,,,syn 4,4304.735352,,,,,,,5792,5.2128,,,
-0.315401145,-78.19283709,4301.425916,267.0178072,265,17,12,44383,0.285,1311.062431,NA,NA,6.876,626.3154,new,EOS1,,4304.735352,20.0562358,-0.432618,0.021570249,20.2427583,0,0,5842,5.2578,5.2578,,8.96025
-0.315357145,-78.19284403,4301.036788,271.9992247,270,7,63,,NA,NA,,,,,,,,4304.713379,,,,,,,5844,5.2596,,,
-0.315321145,-78.19286938,4300.56499,276.9806422,275,7,49,,NA,NA,,,,,,,,4304.302734,,,,,,,5883,5.2947,,,
-0.315298145,-78.19290693,4300.186448,281.9620597,280,10,75,,NA,NA,,,,,,,,4304.055176,,,,,,,5896,5.3064,,,
-0.315282145,-78.19294919,4299.862491,286.9434772,285,7,20,,NA,NA,,,,,,,,4303.751953,,,,,,,5897,5.3073,,,
-0.3152741,-78.19299226,4299.263807,291.9248947,290,9,20,,NA,NA,,,,,,,,4303.177734,,,,,,,5910,5.319,,,
-0.3152671,-78.19303742,4298.221223,296.9063122,295,4,46,,NA,NA,,,,,,,,4301.858887,,,,,,,5919,5.3271,,,
-0.3152571,-78.19310194,4296.09997,304.1738679,300,10.5,47,44383,0.265,522.9615036,NA,NA,6.872,626.3554,old,EOS2,,4299.969238,18.742688,-6.681152,0.356467119,22.2118082,-4.085938,0.183953416,5921,5.3289,5.3289,,8.782
-0.3152571,-78.19310194,4296.09997,304.3555568,301,NA,NA,NA,NA,,,,,,,,more WF,4299.969238,,,,,,,5921,5.3289,,,
-0.3152561,-78.19310839,4295.844006,304.9006235,304,NA,NA,NA,NA,,,,,,,,,4298.865234,,,,,,,5922,5.3298,,,
-0.315254284,-78.19311892,4295.409376,305.8617834,305,4,61,,NA,NA,,,,,,,,4298.865234,,,,,,,5922,5.3298,,,
-0.315263284,-78.19315749,4293.650592,310.6675827,310,6,20,,NA,NA,,,,,,,,4296.496582,,,,,,,5924,5.3316,,,
-0.315276284,-78.19319958,4291.218351,315.473382,315,5,48,,NA,NA,,,,,,,,4295.293457,,,,,,,5925,5.3325,,,
-0.315293284,-78.19323511,4288.947905,319.7986013,319.5,NA,NA,NA,NA,,,,,,,,top of Waterfall,4294.086426,,,,,,,5926,5.3334,,,
-0.315296284,-78.19323956,4288.629413,320.3025864,320,4,21,,NA,NA,,,,,,,,4294.086426,,,,,,,5926,5.3334,,,
-0.315330284,-78.19326804,4286.196211,325.3424366,325,16,23,,NA,NA,,,,,,,,4291.609863,,,,,,,5928,5.3352,,,
-0.315364284,-78.19329551,4283.966993,330.3822869,330,6,16,,NA,NA,,,,,,,,4290.334961,,,,,,,5929,5.3361,,,
-0.315382284,-78.19332892,4282.439367,334.414167,334,,,,,,,,,,,,,4289.691895,,,,,,,5930,5.337,,,
-0.315385284,-78.19333659,4282.177324,335.4221371,335,10,21,,NA,NA,,,,,,,,4289.048828,,,,,,,5930,5.337,,,
-0.3153663,-78.19337636,4281.082017,340.4619873,340,14,32,,NA,NA,,,,,,,,4287.746094,,,,,,,5931,5.3379,,,
-0.315338413,-78.1934116,4280.227693,345.4010406,344.9,NA,NA,NA,NA,,,,,,,,big elevation change bottom,4285.15332,,,,,,,5933,5.3397,,,
-0.315331413,-78.19341962,4280.104765,346.5863633,345,21,51,,NA,NA,,,,,,,,4285.15332,,,,,,,5933,5.3397,,,
-0.315301413,-78.19345252,4280.099664,351.5098208,350,12,35,,NA,NA,,,,,,,,4284.001465,,,,,,,5934,5.3406,,,
-0.315270413,-78.19348423,4279.857576,356.4332783,355,5,36,,NA,NA,,,,,,,,4282.266113,,,,,,,6058,5.4522,,,
-0.315238413,-78.19351495,4278.507195,361.3567358,360,3,40,,NA,NA,,,,,,,,4281.239746,,,,,,,6093,5.4837,,,
-0.315206413,-78.19354402,4276.87797,366.2801932,365,9,48,,-0.01,316.8696346,NA,NA,6.868,626.3104,new,EOS1,,4280.348633,,,,,,,6123,5.5107,5.5107,,8.6765
-0.315179413,-78.19356758,4275.999555,370.2189592,369,NA,NA,NA,NA,,,,,,,,"starts to be more turbulent, WFs",4279.837891,,,,,,,6194,5.5746,,,
-0.315173413,-78.19357272,4275.903937,371.1502926,370,12,63,,NA,NA,,,,,,,,4279.837891,,,,,,,6194,5.5746,,,
-0.315157413,-78.1935863,4275.739602,373.4786261,372.5,NA,NA,44382,0.08,548.8156906,3.018,0.07629,6.666,627.9044,new,EOS1,syn 2,4279.110352,19.1068908,-3.67334,0.192252106,21.9688053,-4.891113,0.222639007,6195,5.5755,5.5755,,8.41425
-0.315141413,-78.19359973,4275.680265,375.8069596,375,18,50,44383,0.075,563.8440146,3.413,0.1029,6.868,626.3104,old,EOS2,,4278.279297,18.8401004,-3.195801,0.169627599,19.3736813,-3.986816,0.205785155,6196,5.5764,5.5764,,8.6765
-0.315109413,-78.19362636,4275.747001,380.4636266,380,26.5,83,,NA,NA,,,,,,,,4277.566406,,,,,,,6301,5.6709,,,
-0.315076413,-78.19365387,4275.85333,385.1202936,385,25.5,30,,NA,NA,,,,,,,,4277.152832,,,,,,,6480,5.832,,,
-0.315044413,-78.19368101,4275.734184,389.7769606,390,22,15,,NA,NA,,,,,,,,4276.847656,,,,,,,6618,5.9562,,,
-0.315013413,-78.19370814,4275.465511,394.4336276,395,4,20,44382,0.223333333,1026.038211,NA,NA,6.666,627.7364,new,EOS1,becomes channel,4276.48877,18.826714,-1.437012,0.076328349,18.626668,-1.790527,0.096127069,6619,5.9571,5.9571,,8.905
-0.314981413,-78.19373741,4275.014329,399.1903176,400,7,22,,NA,NA,,,,,,,"* end of last gemorphology (this has not been entered, but maybe you want to look to compare differences across days? Just a thought)",4276.101563,,,,,,,6620,5.958,,,
-0.314951413,-78.1937664,4274.623062,403.9470076,405,4,16,,NA,NA,,,,,,,,4275.71582,,,,,,,6621,5.9589,,,
-0.314921413,-78.19379722,4273.917005,408.7036977,410,4,16,,NA,NA,,,,,,,,4275.3125,,,,,,,6622,5.9598,,,
-0.314892413,-78.19382909,4272.584151,413.4603877,415,4,18,44382,0.373333333,2425.550391,NA,NA,6.667,627.6114,new,EOS1,,4274.90918,19.0267601,-2.588379,0.136038873,19.0267601,-1.57959,0.083019389,6775,6.0975,6.0975,,9.09625
-0.314865413,-78.19386087,4270.924477,418.2170777,420,4,9,,NA,NA,,,,,,,,4274.241211,,,,,,,6806,6.1254,,,
-0.314838413,-78.19389494,4269.192433,422.9737677,425,5,20,44382,0.093333333,1744.438456,NA,NA,6.663,627.7264,new,EOS1,,4273.127441,19.0267601,-4.559082,0.239614205,19.0267601,-2.588379,0.136038873,6808,6.1272,6.1272,,8.7295
-0.314813413,-78.19392874,4267.886415,427.7304578,430,2.54,15,,NA,NA,,,,,,,,4271.418945,,,,,,,6810,6.129,,,
-0.314788413,-78.19396492,4267.30617,432.4871478,435,2.54,12,,NA,NA,,,,,,,,4270.350098,,,,,,,6811,6.1299,,,
-0.314765413,-78.19400047,4267.495262,437.2438378,440,5,14,,NA,NA,,,,,,,,4268.410645,,,,,,,6845,6.1605,,,
-0.314743413,-78.19403666,4267.971509,442.0005279,445,3,6,,NA,NA,,,,,,,"no single channel, wetland with lots of little channels, I followed the biggest one",4267.509766,,,,,,,11181,10.0629,,,
-0.314739413,-78.19404348,4268.077621,442.8567321,445.9,NA,NA,44382,0.11,785.6929274,3.866,0.1229,6.669,627.5174,new,EOS1,,4267.509766,18.8099607,-2.840332,0.151001485,19.8829644,-5.617675,0.282537095,11181,10.0629,10.0629,,9.31775
-0.314733413,-78.19405385,4268.249785,444.1906035,446,NA,NA,NA,NA,,,,,,,,"waterfall 182 cm high, not in a channel, more leaking out of ground and dripping",4267.509766,,,,,,,11181,10.0629,,,
-0.314719413,-78.19407873,4268.735887,447.3490501,450,10,9,44383,1.075,1008.527805,3.958,0.09001,6.866,626.4494,new,EOS1,,4267.509766,18.001329,-0.900879,0.050045138,19.6185923,-3.909179,0.199258894,11236,10.1124,10.1124,,8.5785
-0.314702413,-78.19411026,4269.472318,451.2971085,455,31,62,,NA,NA,,,,,,,,4267.509766,,,,,,,11423,10.2807,,,
-0.314699413,-78.19411598,4269.620296,452.0867201,456,NA,NA,NA,NA,,,,,,,,syn 0,4267.509766,,,,,,,11423,10.2807,,,
-0.314686413,-78.19414132,4270.305332,455.2451668,460,20,120,,,,,,,,,,,4267.509766,,,,,,,11476,10.3284,,,
