Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,Tract,Description,Point,X,Y,WaterSample,Notes
6,23,21,10:11:56,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
6,23,21,10:12:04,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
6,23,21,10:13:24,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA
6,23,21,10:25:00,0.07,21.8,65.92,2.399,62.2,3.17,0,NA,NA,NA,NA,NA,NA,NA
6,23,21,10:30:00,1.21,21.4,145.16,13.012,76.86,3.081,0,1,NA,NA,NA,NA,NA,NA
6,23,21,10:35:00,2.25,21.1,195.55,6.551,68.41,4.064,0,1,"Point 1 at convergence of main stream and tributary that runs up toward the station, ends at humidal",1,S0.3312167,W78.20317,1034,NA
6,23,21,10:40:00,2.31,20.9,199.88,8.334,69.15,5.347,0,1,"Point 1 at convergence of main stream and tributary that runs up toward the station, ends at humidal",1,S0.3312167,W78.20317,1034,NA
6,23,21,10:45:00,-0.07,20.8,66.17,3.746,70.3,3.745,0,1,"Point 1 at convergence of main stream and tributary that runs up toward the station, ends at humidal",1,S0.3312167,W78.20317,1034,NA
6,23,21,10:50:00,0.95,20.6,121.84,25.116,68,4.84,0,NA,NA,NA,NA,NA,NA,NA
6,23,21,10:55:00,2.82,20.3,242.25,10.371,82.91,2.558,0,1,"Point 1 at convergence of main stream and tributary that runs up toward the station, ends at humidal",2,S0.3309667,W78.20313,NA,NA
6,23,21,11:00:00,2.36,20.1,225.43,6.801,91.99,4.391,0,1,"Point 1 at convergence of main stream and tributary that runs up toward the station, ends at humidal",2,S0.3309667,W78.20313,NA,NA
6,23,21,11:05:00,1.5,20,181.67,44.886,96.92,4.28,0,1,"Point 1 at convergence of main stream and tributary that runs up toward the station, ends at humidal",2,S0.3309667,W78.20313,NA,NA
6,23,21,11:10:00,0.89,20.1,139.47,6.746,89.15,12.779,0,NA,NA,NA,NA,NA,NA,NA
