"","lat_fit","lon_fit","ele_fit","x_pred","x","d","w","notes"
"1",-0.328954213073492,-78.2015831270691,4094.79587240753,205.673399722444,0,2,44,"low flow <.01, point 17"
"2",-0.329189613073492,-78.2017085131717,4089.09984003197,174.683856402279,6,NA,NA,"underground"
"3",-0.329100113073492,-78.201624732312,4091.80045383564,188.35571374941,21,NA,NA,"underground"
"4",-0.329093413073492,-78.2016200155688,4091.97274071056,189.267170905886,22,4,7,"visible flow"
"5",-0.329035113073492,-78.2015906150058,4093.15866839311,196.55882815769,30,6,35,""
"6",-0.329019313073492,-78.2015863239053,4093.40087316276,198.38174247064,32,2,30,""
"7",-0.329018513073492,-78.2015861472154,4093.41335595088,198.472888186288,32.1,NA,NA,"wetland inlet -> less flow"
"8",-0.328962413073492,-78.2015824581337,4094.5311650256,204.761942565969,39,NA,NA,"wetland outlet -> stream"
"9",-0.329222313073492,-78.2017452064444,4087.40057082007,169.215113463426,40,7,33,"point 16"
"10",-0.329281513073492,-78.2018119559979,4083.80735114091,159.283049766505,50,7.5,15,""
"11",-0.329325113073492,-78.2018566094433,4081.99583155249,152.334442202768,58,4,18,"point 15"
"12",-0.329428713073492,-78.2019293550511,4080.30806832697,138.171701461744,60,NA,NA,"culvert under road"
"13",-0.329363513073492,-78.2018898788831,4080.94847063583,146.669345906359,69,NA,NA,"culvert under road"
"14",-0.329356913073492,-78.2018846439377,4081.09751470335,147.613528622427,70,2.2,80,""
"15",-0.329325713073492,-78.2018571783427,4081.97596133174,152.240023931161,74.9,NA,NA,"flow widens over vegetation, lots of little trickles"
"16",-0.329444513073492,-78.2019354333647,4080.27383569673,136.283336029608,75,8,103,"point 14"
"17",-0.329506913073492,-78.2019467686567,4079.9945989651,129.200642019991,80,0.5,28,"flow widens over vegetation, lots of little trickles"
"18",-0.329552213073492,-78.2019443596661,4079.78412178297,124.141574870264,87,1.5,26,"flow widens over vegetation, lots of little trickles"
"19",-0.329648913073492,-78.2019244798777,4079.17909669218,113.1517953107,90,0.5,23,"flow widens over vegetation, lots of little trickles"
"20",-0.329677913073492,-78.2019186796545,4078.84729964679,109.854861442831,100,1.5,14,"point 12, flow widens over vegetation, lots of little trickles"
"21",-0.329703813073492,-78.2019149534908,4078.52600770928,106.938459590568,110,2,9,""
"22",-0.329790613073492,-78.2019194375688,4077.49998637638,97.2171200830253,113,6,7.5,"point 11"
"23",-0.329901613073492,-78.2019741398363,4076.45917274189,83.3452094881305,120,5.5,15,""
"24",-0.329818113073492,-78.2019277573979,4077.22691655421,94.0159099457419,130,2,13,""
"25",-0.329954013073492,-78.2020160928885,4076.03494857797,75.8757191678025,133,2,7,"point 10"
"26",-0.329996213073492,-78.2020533748404,4075.75484094857,69.6066050437249,140,1.5,33,""
"27",-0.330038513073492,-78.2020905613358,4075.59709128081,63.3374909196473,147,1.5,12,"point 9"
"28",-0.330051613073492,-78.2021015436041,4075.56171648795,61.4345370578943,150,11,20,""
"29",-0.330133713073492,-78.2021580666649,4075.27299877526,50.3187673772765,160,3,26,"point 8"
"30",-0.330310313073492,-78.2021904712879,4074.14859426322,30.0979779871398,170,2,46,""
"31",-0.330273913073492,-78.2021898778748,4074.41427929958,34.1421358651671,174,NA,NA,"wetland inlet"
"32",-0.330219613073492,-78.2021861358328,4074.77910488764,40.2083726822081,180,7,144,""
"33",-0.330398913073492,-78.2022073534545,4073.18197094523,19.9875832920714,190,5.5,40,"point 6"
"34",-0.330468013073492,-78.2022526969448,4073.39641888781,10.7522537953183,200,1.5,41,"point 5"
