"","lat_fit","lon_fit","ele_fit","x_pred","x","d","w","Flux_ave","adjusted_ppm","DOC","TDN","notes"
"1",-0.324197710792542,-78.1995920392055,4150.46074712932,0.602392545881116,0,7,22,NA,NA,NA,NA,"comes out from ground and can't find until big waterfall"
"2",-0.324237710792542,-78.1996105501394,4147.23903965679,5.60446422894207,5.8,15.5,43,NA,NA,NA,NA,""
"3",-0.324314710792542,-78.1996066678309,4142.48168964419,14.228725751461,15.8,8,78,NA,NA,NA,NA,""
"4",-0.324392710792542,-78.199605574771,4138.74784544526,22.8529872739798,25.8,7,27,NA,NA,NA,NA,""
"5",-0.324468710792542,-78.1996197416148,4136.09380025747,31.4772487964987,35.8,3.5,16,NA,NA,NA,NA,""
"6",-0.324543710792542,-78.199638368131,4134.4209234132,40.1015103190176,45.8,10.5,48,NA,NA,NA,NA,""
"7",-0.324583710792542,-78.1996459546133,4133.91374539323,44.6292648120381,55.8,5,54,NA,NA,NA,NA,""
"8",-0.324623710792542,-78.1996503014742,4133.86928153236,49.1570193050587,65.8,4,28,NA,NA,NA,NA,"middle of braid 3"
"9",-0.324664710792542,-78.199650870782,4134.29745804203,53.6847737980792,75.8,7,30,NA,NA,NA,NA,""
"10",-0.324705710792542,-78.1996476044883,4134.95411404089,58.2125282910997,85.8,11,22,NA,NA,NA,NA,""
"11",-0.324944710792542,-78.1996013182802,4135.11086082147,85.3337777042927,145.7,NA,NA,NA,NA,NA,NA,"lose track of stream that was flowing mostly underground"
"12",-0.324944710792542,-78.1996013182802,4135.11086082147,85.3790552492229,145.8,12,55,NA,NA,NA,NA,""
"13",-0.324952710792542,-78.1996005497879,4134.9692104052,86.2737189359571,146.8,NA,NA,NA,NA,NA,NA,""
"14",-0.324967710792542,-78.1995994460927,4134.68298656539,87.9480865146774,147.8,NA,NA,NA,NA,NA,NA,"just a hole where you can see the stream"
"15",-0.325072710792542,-78.1996050543994,4132.425825222,99.6778226909136,159,7,130,NA,NA,NA,NA,"wetland outlet - ""weird and braided and confucsing, followed visibly flowing water"""
"16",-0.325109710792542,-78.1996124294905,4131.8270322957,103.854820391056,162.8,NA,NA,NA,NA,NA,NA,"underground"
"17",-0.325118710792542,-78.1996145885331,4131.69284864565,104.954030312146,163.8,NA,NA,NA,NA,NA,NA,"underground"
"18",-0.325128710792542,-78.1996171378921,4131.52686843626,106.053240233237,164.8,5,31,NA,NA,NA,NA,"top of waterfall"
"19",-0.325137710792542,-78.1996195589847,4131.38849010108,107.152450154327,165.8,18,81,NA,NA,NA,NA,"above waterfall"
"20",-0.325147710792542,-78.1996223792218,4131.28274491375,108.251660075417,166.8,NA,NA,NA,NA,NA,NA,"comes out from underground (waterfall)"
"21",-0.325216710792542,-78.1996445478289,4129.67006528796,116.299443426824,175.8,25,64,NA,NA,NA,NA,""
"22",-0.325231710792542,-78.1996497228147,4129.12386723141,118.087839727137,177.8,NA,NA,NA,NA,NA,NA,"underground"
"23",-0.325254710792542,-78.1996576841866,4128.15753927719,120.770434177606,180.8,NA,NA,NA,NA,NA,NA,"underground"
"24",-0.325292710792542,-78.1996705021607,4125.91875299472,125.241424928388,185.8,4,47,NA,NA,NA,NA,""
"25",-0.325369710792542,-78.1996926990405,4121.87646060852,134.183406429952,195.8,17,62,NA,NA,NA,NA,""
"26",-0.325449710792542,-78.1997069316889,4121.17806028504,143.284705575159,205.8,25,60,NA,NA,NA,NA,""
"27",-0.325474710792542,-78.1997092504349,4120.56464801369,146.015095318721,208.8,NA,NA,NA,NA,NA,NA,"underground"
"28",-0.325511710792542,-78.1997109312091,4119.18292190022,150.110679934065,213.3,NA,NA,NA,NA,NA,NA,"underground"
"29",-0.325531710792542,-78.1997110657091,4118.34227681989,152.386004720366,215.8,7,81,NA,NA,NA,NA,""
"30",-0.325539710792542,-78.1997109876292,4117.99585479814,153.296134634887,216.8,NA,NA,NA,NA,NA,NA,"underground"
"31",-0.325556710792542,-78.1997106038243,4117.3966955889,155.116394463929,218.8,NA,NA,NA,NA,NA,NA,"underground"
"32",-0.325613710792542,-78.1997078502717,4115.73014943919,161.487303865574,225.8,7,81,NA,NA,NA,NA,""
"33",-0.325694710792542,-78.1997041597029,4114.47411247603,170.588603010781,235.8,13,38,NA,NA,NA,NA,""
"34",-0.325695710792542,-78.1997041449919,4114.45597901882,170.679616002233,235.9,NA,NA,NA,NA,NA,NA,"underground"
"35",-0.325715710792542,-78.1997041190612,4114.00889819052,172.863927797083,238.3,NA,NA,NA,NA,NA,NA,"underground"
"36",-0.325776710792542,-78.1997081400209,4111.47292437556,179.689902155988,245.8,12,72,NA,NA,NA,NA,""
