"metadata																													",,,,,,,,,,,,,,,,,,,,,,,,,
"ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon																					",,,,,,,,,,,,,,,,,,,,,,,,,
"1			2021-06-22T02:34:03Z		-0.332223438	-78.20325684	-0.328191407	-78.20037338																					",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"author																													",,,,,,,,,,,,,,,,,,,,,,,,,
"ID	name	email																											",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"copyright																													",,,,,,,,,,,,,,,,,,,,,,,,,
"year	license	author																											",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"link																													",,,,,,,,,,,,,,,,,,,,,,,,,
"metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href																				",,,,,,,,,,,,,,,,,,,,,,,,,
"1							Garmin International		http://www.garmin.com																				",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"rte																													",,,,,,,,,,,,,,,,,,,,,,,,,
"ID	name	cmt	desc	src	number	type	IsAutoNamed	DisplayColor	TransportationMode	TripName	Date	DayNumber																	",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"rtept																													",,,,,,,,,,,,,,,,,,,,,,,,,
"ID	rteID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	DepartureTime	StopDuration	ArrivalTime	CalculationMode	ElevationMode	NamedRoad_Name	NamedRoad_Id	NamedRoad_ProductId	TransportationMode",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"wpt																													",,,,,,,,,,,,,,,,,,,,,,,,,
"ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime			",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"Address																													",,,,,,,,,,,,,,,,,,,,,,,,,
"wptID	StreetAddress1	StreetAddress2	City	State	Country	PostalCode																							",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"PhoneNumber																													",,,,,,,,,,,,,,,,,,,,,,,,,
"wptID	Category	value																											",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"Categories																													",,,,,,,,,,,,,,,,,,,,,,,,,
"wptID	Category																												",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"trk																													",,,,,,,,,,,,,,,,,,,,,,,,,
"ID	name	cmt	desc	src	number	type	DisplayColor																						",,,,,,,,,,,,,,,,,,,,,,,,,
"1	Current Track: 18 JUN 2021 11:13						Blue																						",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"trkseg																													",,,,,,,,,,,,,,,,,,,,,,,,,
"ID	trkID																												",,,,,,,,,,,,,,,,,,,,,,,,,
"1	1																												",,,,,,,,,,,,,,,,,,,,,,,,,
"																													",,,,,,,,,,,,,,,,,,,,,,,,,
"trkpt																													",,,,,,,,,,,,,,,,,,,,,,,,,
ID,trksegID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Temperature,Depth,wtemp,hr,cad
